Ground Truth Label,Ground Truth Name,Ground Truth Image Path,Predict Label,right?(1),Accuracy
0,ABBOTTS BABBLER,/kaggle/input/100-bird-species/test/ABBOTTS BABBLER/1.jpg,0,1,0.983993902
0,ABBOTTS BABBLER,/kaggle/input/100-bird-species/test/ABBOTTS BABBLER/2.jpg,0,1,
0,ABBOTTS BABBLER,/kaggle/input/100-bird-species/test/ABBOTTS BABBLER/3.jpg,0,1,
0,ABBOTTS BABBLER,/kaggle/input/100-bird-species/test/ABBOTTS BABBLER/4.jpg,0,1,
0,ABBOTTS BABBLER,/kaggle/input/100-bird-species/test/ABBOTTS BABBLER/5.jpg,0,1,
1,ABBOTTS BOOBY,/kaggle/input/100-bird-species/test/ABBOTTS BOOBY/1.jpg,1,1,
1,ABBOTTS BOOBY,/kaggle/input/100-bird-species/test/ABBOTTS BOOBY/2.jpg,1,1,
1,ABBOTTS BOOBY,/kaggle/input/100-bird-species/test/ABBOTTS BOOBY/3.jpg,1,1,
1,ABBOTTS BOOBY,/kaggle/input/100-bird-species/test/ABBOTTS BOOBY/4.jpg,1,1,
1,ABBOTTS BOOBY,/kaggle/input/100-bird-species/test/ABBOTTS BOOBY/5.jpg,1,1,
2,ABYSSINIAN GROUND HORNBILL,/kaggle/input/100-bird-species/test/ABYSSINIAN GROUND HORNBILL/5.jpg,2,1,
2,ABYSSINIAN GROUND HORNBILL,/kaggle/input/100-bird-species/test/ABYSSINIAN GROUND HORNBILL/2.jpg,2,1,
2,ABYSSINIAN GROUND HORNBILL,/kaggle/input/100-bird-species/test/ABYSSINIAN GROUND HORNBILL/1.jpg,2,1,
2,ABYSSINIAN GROUND HORNBILL,/kaggle/input/100-bird-species/test/ABYSSINIAN GROUND HORNBILL/4.jpg,2,1,
2,ABYSSINIAN GROUND HORNBILL,/kaggle/input/100-bird-species/test/ABYSSINIAN GROUND HORNBILL/3.jpg,2,1,
3,AFRICAN CROWNED CRANE,/kaggle/input/100-bird-species/test/AFRICAN CROWNED CRANE/1.jpg,3,1,
3,AFRICAN CROWNED CRANE,/kaggle/input/100-bird-species/test/AFRICAN CROWNED CRANE/2.jpg,3,1,
3,AFRICAN CROWNED CRANE,/kaggle/input/100-bird-species/test/AFRICAN CROWNED CRANE/3.jpg,3,1,
3,AFRICAN CROWNED CRANE,/kaggle/input/100-bird-species/test/AFRICAN CROWNED CRANE/4.jpg,3,1,
3,AFRICAN CROWNED CRANE,/kaggle/input/100-bird-species/test/AFRICAN CROWNED CRANE/5.jpg,3,1,
4,AFRICAN EMERALD CUCKOO,/kaggle/input/100-bird-species/test/AFRICAN EMERALD CUCKOO/5.jpg,4,1,
4,AFRICAN EMERALD CUCKOO,/kaggle/input/100-bird-species/test/AFRICAN EMERALD CUCKOO/2.jpg,4,1,
4,AFRICAN EMERALD CUCKOO,/kaggle/input/100-bird-species/test/AFRICAN EMERALD CUCKOO/1.jpg,4,1,
4,AFRICAN EMERALD CUCKOO,/kaggle/input/100-bird-species/test/AFRICAN EMERALD CUCKOO/4.jpg,4,1,
4,AFRICAN EMERALD CUCKOO,/kaggle/input/100-bird-species/test/AFRICAN EMERALD CUCKOO/3.jpg,4,1,
5,AFRICAN FIREFINCH,/kaggle/input/100-bird-species/test/AFRICAN FIREFINCH/1.jpg,5,1,
5,AFRICAN FIREFINCH,/kaggle/input/100-bird-species/test/AFRICAN FIREFINCH/2.jpg,5,1,
5,AFRICAN FIREFINCH,/kaggle/input/100-bird-species/test/AFRICAN FIREFINCH/3.jpg,5,1,
5,AFRICAN FIREFINCH,/kaggle/input/100-bird-species/test/AFRICAN FIREFINCH/4.jpg,5,1,
5,AFRICAN FIREFINCH,/kaggle/input/100-bird-species/test/AFRICAN FIREFINCH/5.jpg,5,1,
6,AFRICAN OYSTER CATCHER,/kaggle/input/100-bird-species/test/AFRICAN OYSTER CATCHER/2.jpg,6,1,
6,AFRICAN OYSTER CATCHER,/kaggle/input/100-bird-species/test/AFRICAN OYSTER CATCHER/1.jpg,6,1,
6,AFRICAN OYSTER CATCHER,/kaggle/input/100-bird-species/test/AFRICAN OYSTER CATCHER/3.jpg,6,1,
6,AFRICAN OYSTER CATCHER,/kaggle/input/100-bird-species/test/AFRICAN OYSTER CATCHER/5.jpg,6,1,
6,AFRICAN OYSTER CATCHER,/kaggle/input/100-bird-species/test/AFRICAN OYSTER CATCHER/4.jpg,6,1,
7,AFRICAN PIED HORNBILL,/kaggle/input/100-bird-species/test/AFRICAN PIED HORNBILL/1.jpg,7,1,
7,AFRICAN PIED HORNBILL,/kaggle/input/100-bird-species/test/AFRICAN PIED HORNBILL/2.jpg,7,1,
7,AFRICAN PIED HORNBILL,/kaggle/input/100-bird-species/test/AFRICAN PIED HORNBILL/3.jpg,7,1,
7,AFRICAN PIED HORNBILL,/kaggle/input/100-bird-species/test/AFRICAN PIED HORNBILL/4.jpg,7,1,
7,AFRICAN PIED HORNBILL,/kaggle/input/100-bird-species/test/AFRICAN PIED HORNBILL/5.jpg,7,1,
8,AFRICAN PYGMY GOOSE,/kaggle/input/100-bird-species/test/AFRICAN PYGMY GOOSE/5.jpg,8,1,
8,AFRICAN PYGMY GOOSE,/kaggle/input/100-bird-species/test/AFRICAN PYGMY GOOSE/2.jpg,8,1,
8,AFRICAN PYGMY GOOSE,/kaggle/input/100-bird-species/test/AFRICAN PYGMY GOOSE/1.jpg,8,1,
8,AFRICAN PYGMY GOOSE,/kaggle/input/100-bird-species/test/AFRICAN PYGMY GOOSE/4.jpg,8,1,
8,AFRICAN PYGMY GOOSE,/kaggle/input/100-bird-species/test/AFRICAN PYGMY GOOSE/3.jpg,8,1,
9,ALBATROSS,/kaggle/input/100-bird-species/test/ALBATROSS/1.jpg,9,1,
9,ALBATROSS,/kaggle/input/100-bird-species/test/ALBATROSS/2.jpg,9,1,
9,ALBATROSS,/kaggle/input/100-bird-species/test/ALBATROSS/3.jpg,9,1,
9,ALBATROSS,/kaggle/input/100-bird-species/test/ALBATROSS/4.jpg,9,1,
9,ALBATROSS,/kaggle/input/100-bird-species/test/ALBATROSS/5.jpg,9,1,
10,ALBERTS TOWHEE,/kaggle/input/100-bird-species/test/ALBERTS TOWHEE/5.jpg,10,1,
10,ALBERTS TOWHEE,/kaggle/input/100-bird-species/test/ALBERTS TOWHEE/2.jpg,10,1,
10,ALBERTS TOWHEE,/kaggle/input/100-bird-species/test/ALBERTS TOWHEE/1.jpg,10,1,
10,ALBERTS TOWHEE,/kaggle/input/100-bird-species/test/ALBERTS TOWHEE/4.jpg,10,1,
10,ALBERTS TOWHEE,/kaggle/input/100-bird-species/test/ALBERTS TOWHEE/3.jpg,10,1,
11,ALEXANDRINE PARAKEET,/kaggle/input/100-bird-species/test/ALEXANDRINE PARAKEET/1.jpg,11,1,
11,ALEXANDRINE PARAKEET,/kaggle/input/100-bird-species/test/ALEXANDRINE PARAKEET/2.jpg,11,1,
11,ALEXANDRINE PARAKEET,/kaggle/input/100-bird-species/test/ALEXANDRINE PARAKEET/3.jpg,11,1,
11,ALEXANDRINE PARAKEET,/kaggle/input/100-bird-species/test/ALEXANDRINE PARAKEET/4.jpg,11,1,
11,ALEXANDRINE PARAKEET,/kaggle/input/100-bird-species/test/ALEXANDRINE PARAKEET/5.jpg,11,1,
12,ALPINE CHOUGH,/kaggle/input/100-bird-species/test/ALPINE CHOUGH/1.jpg,12,1,
12,ALPINE CHOUGH,/kaggle/input/100-bird-species/test/ALPINE CHOUGH/2.jpg,12,1,
12,ALPINE CHOUGH,/kaggle/input/100-bird-species/test/ALPINE CHOUGH/3.jpg,12,1,
12,ALPINE CHOUGH,/kaggle/input/100-bird-species/test/ALPINE CHOUGH/4.jpg,12,1,
12,ALPINE CHOUGH,/kaggle/input/100-bird-species/test/ALPINE CHOUGH/5.jpg,12,1,
13,ALTAMIRA YELLOWTHROAT,/kaggle/input/100-bird-species/test/ALTAMIRA YELLOWTHROAT/1.jpg,13,1,
13,ALTAMIRA YELLOWTHROAT,/kaggle/input/100-bird-species/test/ALTAMIRA YELLOWTHROAT/2.jpg,13,1,
13,ALTAMIRA YELLOWTHROAT,/kaggle/input/100-bird-species/test/ALTAMIRA YELLOWTHROAT/3.jpg,13,1,
13,ALTAMIRA YELLOWTHROAT,/kaggle/input/100-bird-species/test/ALTAMIRA YELLOWTHROAT/4.jpg,511,0,
13,ALTAMIRA YELLOWTHROAT,/kaggle/input/100-bird-species/test/ALTAMIRA YELLOWTHROAT/5.jpg,515,0,
14,AMERICAN AVOCET,/kaggle/input/100-bird-species/test/AMERICAN AVOCET/2.jpg,14,1,
14,AMERICAN AVOCET,/kaggle/input/100-bird-species/test/AMERICAN AVOCET/1.jpg,14,1,
14,AMERICAN AVOCET,/kaggle/input/100-bird-species/test/AMERICAN AVOCET/3.jpg,14,1,
14,AMERICAN AVOCET,/kaggle/input/100-bird-species/test/AMERICAN AVOCET/5.jpg,14,1,
14,AMERICAN AVOCET,/kaggle/input/100-bird-species/test/AMERICAN AVOCET/4.jpg,14,1,
15,AMERICAN BITTERN,/kaggle/input/100-bird-species/test/AMERICAN BITTERN/1.jpg,15,1,
15,AMERICAN BITTERN,/kaggle/input/100-bird-species/test/AMERICAN BITTERN/2.jpg,15,1,
15,AMERICAN BITTERN,/kaggle/input/100-bird-species/test/AMERICAN BITTERN/3.jpg,15,1,
15,AMERICAN BITTERN,/kaggle/input/100-bird-species/test/AMERICAN BITTERN/4.jpg,15,1,
15,AMERICAN BITTERN,/kaggle/input/100-bird-species/test/AMERICAN BITTERN/5.jpg,15,1,
16,AMERICAN COOT,/kaggle/input/100-bird-species/test/AMERICAN COOT/5.jpg,16,1,
16,AMERICAN COOT,/kaggle/input/100-bird-species/test/AMERICAN COOT/2.jpg,16,1,
16,AMERICAN COOT,/kaggle/input/100-bird-species/test/AMERICAN COOT/1.jpg,16,1,
16,AMERICAN COOT,/kaggle/input/100-bird-species/test/AMERICAN COOT/4.jpg,16,1,
16,AMERICAN COOT,/kaggle/input/100-bird-species/test/AMERICAN COOT/3.jpg,16,1,
17,AMERICAN FLAMINGO,/kaggle/input/100-bird-species/test/AMERICAN FLAMINGO/1.jpg,17,1,
17,AMERICAN FLAMINGO,/kaggle/input/100-bird-species/test/AMERICAN FLAMINGO/2.jpg,17,1,
17,AMERICAN FLAMINGO,/kaggle/input/100-bird-species/test/AMERICAN FLAMINGO/3.jpg,17,1,
17,AMERICAN FLAMINGO,/kaggle/input/100-bird-species/test/AMERICAN FLAMINGO/4.jpg,17,1,
17,AMERICAN FLAMINGO,/kaggle/input/100-bird-species/test/AMERICAN FLAMINGO/5.jpg,17,1,
18,AMERICAN GOLDFINCH,/kaggle/input/100-bird-species/test/AMERICAN GOLDFINCH/1.jpg,18,1,
18,AMERICAN GOLDFINCH,/kaggle/input/100-bird-species/test/AMERICAN GOLDFINCH/2.jpg,18,1,
18,AMERICAN GOLDFINCH,/kaggle/input/100-bird-species/test/AMERICAN GOLDFINCH/3.jpg,18,1,
18,AMERICAN GOLDFINCH,/kaggle/input/100-bird-species/test/AMERICAN GOLDFINCH/4.jpg,18,1,
18,AMERICAN GOLDFINCH,/kaggle/input/100-bird-species/test/AMERICAN GOLDFINCH/5.jpg,18,1,
19,AMERICAN KESTREL,/kaggle/input/100-bird-species/test/AMERICAN KESTREL/1.jpg,19,1,
19,AMERICAN KESTREL,/kaggle/input/100-bird-species/test/AMERICAN KESTREL/2.jpg,19,1,
19,AMERICAN KESTREL,/kaggle/input/100-bird-species/test/AMERICAN KESTREL/3.jpg,19,1,
19,AMERICAN KESTREL,/kaggle/input/100-bird-species/test/AMERICAN KESTREL/4.jpg,19,1,
19,AMERICAN KESTREL,/kaggle/input/100-bird-species/test/AMERICAN KESTREL/5.jpg,19,1,
20,AMERICAN PIPIT,/kaggle/input/100-bird-species/test/AMERICAN PIPIT/2.jpg,20,1,
20,AMERICAN PIPIT,/kaggle/input/100-bird-species/test/AMERICAN PIPIT/1.jpg,20,1,
20,AMERICAN PIPIT,/kaggle/input/100-bird-species/test/AMERICAN PIPIT/3.jpg,20,1,
20,AMERICAN PIPIT,/kaggle/input/100-bird-species/test/AMERICAN PIPIT/5.jpg,20,1,
20,AMERICAN PIPIT,/kaggle/input/100-bird-species/test/AMERICAN PIPIT/4.jpg,20,1,
21,AMERICAN REDSTART,/kaggle/input/100-bird-species/test/AMERICAN REDSTART/1.jpg,21,1,
21,AMERICAN REDSTART,/kaggle/input/100-bird-species/test/AMERICAN REDSTART/2.jpg,21,1,
21,AMERICAN REDSTART,/kaggle/input/100-bird-species/test/AMERICAN REDSTART/3.jpg,21,1,
21,AMERICAN REDSTART,/kaggle/input/100-bird-species/test/AMERICAN REDSTART/4.jpg,21,1,
21,AMERICAN REDSTART,/kaggle/input/100-bird-species/test/AMERICAN REDSTART/5.jpg,21,1,
22,AMERICAN ROBIN,/kaggle/input/100-bird-species/test/AMERICAN ROBIN/1.jpg,22,1,
22,AMERICAN ROBIN,/kaggle/input/100-bird-species/test/AMERICAN ROBIN/2.jpg,22,1,
22,AMERICAN ROBIN,/kaggle/input/100-bird-species/test/AMERICAN ROBIN/3.jpg,22,1,
22,AMERICAN ROBIN,/kaggle/input/100-bird-species/test/AMERICAN ROBIN/4.jpg,22,1,
22,AMERICAN ROBIN,/kaggle/input/100-bird-species/test/AMERICAN ROBIN/5.jpg,22,1,
